holding_month,portfolio,instrument,contribution
2018-02,low_pbr,A029530,-0.0021337384249966733
2018-02,low_pbr,A029780,-0.0019080136374706464
2018-02,low_pbr,A030200,-0.0016052757373683502
2018-02,low_pbr,A034020,-0.003147551027287832
2018-02,low_pbr,A036460,-0.0006153847206919855
2018-02,low_pbr,A060980,-0.0034557788823859153
2018-02,low_pbr,A069960,-0.0031710640581028627
2018-02,low_pbr,A073240,-0.005307731270886334
2018-02,low_pbr,A088350,-0.002629848789280961
2018-02,low_pbr,A097230,-0.0029943211321044132
2018-02,low_pbr,A138930,0.0009675858319376983
2018-03,baseline,A000030,-0.0007237004233356768
2018-03,baseline,A000050,0.00011059499176619252
2018-03,baseline,A000070,-0.0005417814626244998
2018-03,baseline,A000080,0.00025839793314243035
2018-03,baseline,A000100,0.0003642191269911231
2018-03,baseline,A000120,0.0002496447539796358
2018-03,baseline,A000150,0.00019444700643963836
2018-03,baseline,A000210,9.11896630084741e-05
2018-03,baseline,A000240,-0.000270562770111358
2018-03,baseline,A000270,-0.0003467510946293289
2018-03,baseline,A000640,0.00017755682354955924
2018-03,baseline,A000660,0.0002544827949134463
2018-03,baseline,A000670,-0.00024271343415117116
2018-03,baseline,A000720,0.0005277644033909084
2018-03,baseline,A000810,-0.00025786029549378634
2018-03,baseline,A000880,-0.0004938794171428607
2018-03,baseline,A000990,-0.00023807096595731124
2018-03,baseline,A001040,0.00011013563193079837
2018-03,baseline,A001060,2.9884645230808965e-05
2018-03,baseline,A001120,0.00019240017321969392
2018-03,baseline,A001230,-0.00010398099521319372
2018-03,baseline,A001430,-0.00035682916271217947
2018-03,baseline,A001450,-9.650646823604771e-05
2018-03,baseline,A001520,-0.0004434589734589402
2018-03,baseline,A001680,0.0003214900623483157
2018-03,baseline,A001740,-0.00016319658222882253
2018-03,baseline,A001800,0.0010307153053740641
2018-03,baseline,A002240,-4.856254975181425e-05
2018-03,baseline,A002270,0.00078173034796652
2018-03,baseline,A002350,0.00021310147244817438
2018-03,baseline,A002380,-0.00012840266768186152
2018-03,baseline,A002790,0.0010141576258606297
2018-03,baseline,A002960,-0.00020542026753132757
2018-03,baseline,A003000,0.00035087718120971085
2018-03,baseline,A003030,-0.0002717230895609079
2018-03,baseline,A003240,0.00020912248645970908
2018-03,baseline,A003300,-0.0005702182915149037
2018-03,baseline,A003410,0.000816993447379617
2018-03,baseline,A003490,0.0002792905996729392
2018-03,baseline,A003520,-0.00021068155378077143
2018-03,baseline,A003550,0.00021774633536327884
2018-03,baseline,A003620,-0.00029936071899921084
2018-03,baseline,A003850,0.0007504766514788776
2018-03,baseline,A003920,7.351535966641773e-05
2018-03,baseline,A004000,0.0002122676269185861
2018-03,baseline,A004020,-0.00016511267903196572
2018-03,baseline,A004170,0.0007922360734815246
2018-03,baseline,A004370,0.00020035061324892594
2018-03,baseline,A004490,-5.2609424744898945e-05
2018-03,baseline,A004710,-0.00045060268849978445
2018-03,baseline,A004800,-4.1739702980786614e-05
2018-03,baseline,A004990,0.0004188223549674191
2018-03,baseline,A005180,4.099436710186253e-05
2018-03,baseline,A005250,-0.00023532820397614281
2018-03,baseline,A005300,7.63216954277248e-05
2018-03,baseline,A005380,-0.00024281276111178551
2018-03,baseline,A005440,-0.00012404749626064343
2018-03,baseline,A005490,-0.00030433456283643275
2018-03,baseline,A005610,-0.00013650015020745266
2018-03,baseline,A005830,-0.00040753354649781257
2018-03,baseline,A005850,-0.0006190941551721514
2018-03,baseline,A005930,0.00027655958691880707
2018-03,baseline,A005940,-0.00010632641438343781
2018-03,baseline,A006120,-0.00037475208648542446
2018-03,baseline,A006260,-0.0002228163791583237
2018-03,baseline,A006280,-0.00027548207841394793
2018-03,baseline,A006360,1.4199728934770382e-11
2018-03,baseline,A006400,0.000859030206990281
2018-03,baseline,A006650,-0.0003909553653250355
2018-03,baseline,A006800,-2.7598375339140413e-05
2018-03,baseline,A006840,-0.0003172427912740007
2018-03,baseline,A007070,-0.00017415535537290022
2018-03,baseline,A007310,0.00028219152712580443
2018-03,baseline,A007570,0.00022867746357443792
2018-03,baseline,A008060,-0.00020874646373511525
2018-03,baseline,A008560,-0.0005510614849900832
2018-03,baseline,A008770,0.0012471907181251887
2018-03,baseline,A008930,0.0005934646792913222
2018-03,baseline,A009150,0.0006660006577419546
2018-03,baseline,A009240,0.00015101178896707968
2018-03,baseline,A009290,-0.0004553734036950698
2018-03,baseline,A009420,-0.0001149584094226933
2018-03,baseline,A009540,-0.00019276734754931872
2018-03,baseline,A009830,-0.00045485914795816086
2018-03,baseline,A010060,-0.00021557033521870292
2018-03,baseline,A010120,0.0003771779864423612
2018-03,baseline,A010130,-0.0003024254612110403
2018-03,baseline,A010140,0.0002077262775947851
2018-03,baseline,A010620,-0.0005263906712422202
2018-03,baseline,A010780,-0.0002727896346391897
2018-03,baseline,A010950,-0.00020041686102592802
2018-03,baseline,A011070,-0.0003252219222976772
2018-03,baseline,A011170,-0.00047897306201361635
2018-03,baseline,A011210,-9.08367309216121e-06
2018-03,baseline,A011780,0.0003555103987213466
2018-03,baseline,A011790,-0.00024892244151885
2018-03,baseline,A012330,0.0005497148403611014
2018-03,baseline,A012450,0.00013576627815447995
2018-03,baseline,A012630,0.0001701652691536499
2018-03,baseline,A012750,0.00023767083611071844
2018-03,baseline,A014680,-0.00033761903122993676
2018-03,baseline,A014820,-0.00016445973104236254
2018-03,baseline,A014830,0.0004491772353920923
2018-03,baseline,A015760,5.372878553073286e-05
2018-03,baseline,A016360,1.8631708970264245e-11
2018-03,baseline,A017670,1.0768659160906499e-05
2018-03,baseline,A017800,0.001794952975052493
2018-03,baseline,A018260,0.00026525761018471165
2018-03,baseline,A018880,-0.0002647442173643849
2018-03,baseline,A019680,-3.759681327096181e-05
2018-03,baseline,A020000,0.0008094886141908253
2018-03,baseline,A020150,0.0006667586342461239
2018-03,baseline,A021240,0.0002177956714645494
2018-03,baseline,A023530,0.001169328761970846
2018-03,baseline,A024110,-0.0004824363068634872
2018-03,baseline,A025540,-0.0006626262781584964
2018-03,baseline,A025860,0.0005543237123696916
